id,userId,giveOutWasteId,quantity,reservePrice,deliveryFee,matchedFlag
1,100,125,5.0,15.0,4.0,0
2,101,125,7.0,15.0,2.0,0
3,102,125,9.0,15.0,2.0,0
4,103,125,3.0,20.0,1.0,0
5,104,125,35.0,-70.0,0.0,0
6,105,125,30.0,-70.0,0.0,0
7,106,125,6.0,-70.0,0.0,0
8,107,125,5.0,-70.0,0.0,0
9,108,125,90.0,-100.0,0.0,0
10,109,125,80.0,-100.0,0.0,0
11,110,125,23.0,-40.0,1.0,0
12,111,125,25.0,-40.0,1.0,0
13,112,125,30.0,-35.0,1.0,0
14,113,125,25.0,-35.0,1.0,0
15,114,125,15.8,640.0,1.0,0
16,115,125,15.8,640.0,1.0,0
17,116,125,6.6,3500.0,5.0,0
